FIPS,Metro.Area,County,State,Display,Name,Baseline,Current,Metro.Adult.Population,Low.income,Poor.locale,Limited.education,No.health.insurance,Unemployment,W.Metro.Adult.Population,W.Low.income,W.Poor.locale,W.Limited.education,W.No.health.insurance,W.Unemployment,B.Adult.Population,B.Low.income,B.Poor.locale,B.Limited.education,B.No.health.insurance,B.Unemployment,H.Adult.Population,H.Low.income,H.Poor.locale,H.Limited.education,H.No.health.insurance,H.Unemployment,At.least.doubly.disadvantaged,Low.income.and.poor.locale,Low.income.and.limited.education,Low.income.and.no.health.insurance,Low.income.and.unemployment,W.At.least.doubly.disadvantaged,W.Low.income.and.poor.locale,W.Low.income.and.limited.education,W.Low.income.and.no.health.insurance,W.Low.income.and.unemployment,B.At.least.doubly.disadvantaged,B.Low.income.and.poor.locale,B.Low.income.and.limited.education,B.Low.income.and.no.health.insurance,B.Low.income.and.unemployment,H.At.least.doubly.disadvantaged,H.Low.income.and.poor.locale,H.Low.income.and.limited.education,H.Low.income.and.no.health.insurance,H.Low.income.and.unemployment,Years.of.Potential.Life.Lost.Rate,Fair_Poor_Health_Percent,Physically.Unhealthy.Days,Mentally.Unhealthy.Days,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,cur_smoke_q1,cur_smoke_q2,cur_smoke_q3,cur_smoke_q4,bmi_obese_q1,bmi_obese_q2,bmi_obese_q3,bmi_obese_q4,exercise_any_q1,exercise_any_q2,exercise_any_q3,exercise_any_q4,puninsured2010,mort_30day_hosp_z,scap_ski90pcm,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,cs_race_theil_2000,gini99,frac_middleclass,cs_labforce,pop_density,median_house_value,e_rank_b
0,"St. Louis, MO-IL",St. Louis,Missouri,STL,St. Louis,0,1,1384298,0.18,0.16,0.12,0.13,0.11,1052441,0.14,0.11,0.1,0.1,0.09,236979,0.34,0.39,0.16,0.23,0.23,36636,0.23,0.23,0.2,0.26,0.06,0.14,0.05,0.05,0.06,0.07,0.1,0.02,0.04,0.04,0.05,0.28,0.19,0.09,0.11,0.16,0.17,0.08,0.09,0.1,0.03,9957,20.8,4.7,4.2,80.06150188,81.18260525,83.12184093,83.79702799,85.19087818,85.68975684,87.05342353,87.39564871,74.85236002,76.0506046,78.73172235,79.49574709,81.58631911,82.15910488,84.7970676,85.18524382,0.293450611,0.254117928,0.182101307,0.137576918,0.299961131,0.255777932,0.247629328,0.197562677,0.633765205,0.745235645,0.808888072,0.892122741,13.51093305,-0.841410076,0.992038919,0.094602995,0.075249792,0.112334156,0.343842473,0.472790783,0.42653086,0.655467758,2874.16268,138497.7669,40.32635881
1073,"Birmingham-Hoover, AL",Jefferson,Alabama,BIR,Birmingham,1,1,550327,0.23,0.41,0.15,0.16,0.15,357074,0.16,0.36,0.13,0.12,0.13,155744,0.34,0.53,0.16,0.19,0.22,21129,0.64,0.38,0.47,0.64,0.08,0.21,0.13,0.07,0.09,0.1,0.14,0.09,0.05,0.06,0.08,0.31,0.22,0.09,0.11,0.16,0.58,0.28,0.34,0.48,0.07,10309,19,4.5,4.5,80.21241,81.79208,83.55753,84.46046,85.17361,85.77354,87.177,87.49687,73.85114,75.61622,78.42502,79.45655,81.56728,82.23368,84.50085,84.87309,0.2739872,0.237516,0.1955446,0.1327751,0.3191257,0.2724868,0.2474619,0.1863581,0.56505805,0.71091443,0.76912183,0.85567009,16.14558,0.5771653,-0.06010005,0.1226149,0.1115434,0.1300523,0.4181344,0.5981416,0.43082,0.6152097,595.0411,120903.1,38.43345
12031,"Jacksonville, FL",Duval,Florida,JAC,Jacksonville,1,0,685551,0.22,0.2,0.13,0.18,0.13,445332,0.18,0.13,0.13,0.16,0.12,142656,0.33,0.44,0.14,0.19,0.18,54289,0.29,0.17,0.18,0.26,0.08,0.17,0.07,0.06,0.07,0.08,0.13,0.03,0.05,0.06,0.07,0.27,0.19,0.09,0.09,0.14,0.21,0.05,0.09,0.1,0.05,8714,17,3.7,4.1,80.90923,81.61613,83.5825,83.99597,85.73135,85.91051,87.77625,87.86655,74.41966,75.28664,79.18167,79.71078,81.60326,81.92541,84.85976,85.07643,0.2804766,0.22187,0.1823708,0.1443995,0.2787194,0.245114,0.2695925,0.1785714,0.59936237,0.73058933,0.8121739,0.86734694,19.32609,-0.3393703,-1.2693627,0.0945468,0.0883095,0.1004754,0.224553,0.5100531,0.52613,0.6742685,1006.736,119436.8,39.36953
18097,"Indianapolis-Carmel-Anderson, IN",Marion,Indiana,IND,Indianapolis,1,1,975216,0.19,0.15,0.14,0.16,0.11,737714,0.14,0.11,0.11,0.13,0.1,139560,0.32,0.31,0.17,0.21,0.18,55576,0.43,0.36,0.41,0.45,0.08,0.15,0.05,0.06,0.08,0.06,0.11,0.03,0.04,0.05,0.05,0.25,0.12,0.09,0.1,0.14,0.39,0.18,0.23,0.29,0.06,8795,19,4.1,4.2,78.87899,79.91841,82.29504,82.91022,84.49912,85.01558,87.04902,87.42314,73.29119,74.35487,77.59919,78.26086,81.67155,82.21445,84.18701,84.64204,0.3377625,0.2813371,0.2161172,0.1427623,0.3238434,0.256779,0.2662632,0.1918919,0.56677526,0.74203539,0.81294394,0.87937188,19.89726,-0.323566,0.76482325,0.0995317,0.0859784,0.1103331,0.2764641,0.513245,0.48093,0.691263,2171.5,131967,36.97688
21111,"Louisville/Jefferson County, KY-IN",Jefferson,Kentucky,LOU,Louisville,1,1,612045,0.2,0.1,0.15,0.12,0.12,484963,0.16,0.04,0.14,0.1,0.11,83494,0.37,0.46,0.16,0.14,0.23,22607,0.31,0.07,0.33,0.36,0.03,0.15,0.04,0.06,0.05,0.08,0.12,0.01,0.05,0.04,0.06,0.3,0.2,0.11,0.07,0.19,0.26,0.03,0.16,0.19,0.03,8714,18,3.9,3.7,80.01647,80.86115,82.93595,83.48799,85.36174,85.78506,87.3686,87.66816,74.03472,74.98888,79.05051,79.64791,81.96867,82.46594,84.72044,85.0846,0.3501742,0.2862149,0.200492,0.1319444,0.2879238,0.2552553,0.2131148,0.1648873,0.54226804,0.70157427,0.80645162,0.87166452,16.06903,-0.3240758,0.69875356,0.1224208,0.1119988,0.1334353,0.3143667,0.5196272,0.47256,0.649999,1801.158,137299,38.12341
26081,"Grand Rapids-Wyoming, MI",Kent,Michigan,GR,Grand Rapids,0,1,436607,0.18,0.22,0.12,0.11,0.09,351294,0.14,0.17,0.08,0.1,0.07,29004,0.49,0.6,0.2,0.13,0.26,36377,0.38,0.33,0.47,0.25,0.17,0.14,0.07,0.05,0.05,0.06,0.09,0.04,0.03,0.03,0.04,0.45,0.34,0.18,0.08,0.24,0.34,0.18,0.22,0.18,0.12,5716,13,3.5,3.4,81.38574,81.8651,85.35135,85.51925,86.37524,86.64069,88.2075,88.42738,76.3549,76.8587,81.23629,81.46133,83.7599,84.05866,85.97076,86.22728,0.254902,0.2488619,0.1594388,0.1199552,0.2639363,0.2390282,0.2419146,0.1786121,0.67460316,0.78514379,0.85340315,0.90940368,13.94316,0.2645949,0.78659416,0.081094,0.0622906,0.0965667,0.2525475,0.4053029,0.51188,0.7046253,670.815,153428.3,41.17176
29095,"Kansas City, MO-KS",Jackson,Missouri,KC,Kansas City,1,1,1048660,0.17,0.15,0.11,0.14,0.1,787534,0.13,0.09,0.08,0.1,0.09,121044,0.3,0.37,0.12,0.23,0.19,83399,0.35,0.39,0.41,0.43,0.06,0.13,0.05,0.05,0.06,0.06,0.09,0.02,0.03,0.04,0.05,0.26,0.14,0.05,0.12,0.15,0.33,0.19,0.24,0.26,0.05,8410,19,4.3,3.8,80.01825,80.93668,83.29794,83.78799,85.22578,85.63606,87.37579,87.68221,74.54406,75.51054,79.27663,79.8147,81.67894,82.12372,84.17932,84.54334,0.3073364,0.2596401,0.2155388,0.1662468,0.2781547,0.2514891,0.2503193,0.2294872,0.61397934,0.73802394,0.79739505,0.86141306,17.99124,0.4846922,0.26476887,0.1108217,0.1011596,0.1177608,0.3472723,0.4495917,0.5123,0.6649454,1082.725,113305,40.04508
31055,"Omaha-Council Bluffs, NE-IA",Douglas,Nebraska,OMA,Omaha,1,1,484541,0.16,0.22,0.13,0.12,0.08,394005,0.12,0.15,0.08,0.08,0.07,30468,0.34,0.65,0.2,0.21,0.23,38772,0.36,0.55,0.53,0.43,0.07,0.13,0.08,0.06,0.06,0.05,0.09,0.04,0.03,0.03,0.04,0.33,0.27,0.12,0.12,0.19,0.36,0.28,0.29,0.25,0.06,6318,13,2.9,2.9,80.58175,81.21781,84.24847,84.57623,86.4201,86.71004,87.54147,87.76691,75.12808,75.76405,80.16313,80.52493,81.86729,82.25501,85.30355,85.55663,0.302134,0.2491115,0.1951077,0.1371041,0.269742,0.242495,0.2423698,0.1829551,0.62236559,0.76875681,0.83965194,0.88852149,13.79862,-0.0011547,0.81377753,0.1364197,0.1150067,0.1560113,0.2747371,0.496081,0.4677,0.7061371,1400.651,134366.4,41.56104
37081,"Greensboro-High Point, NC",Guilford,North Carolina,GBR,Greensboro,1,1,384381,0.24,0.13,0.16,0.18,0.11,240537,0.16,0.06,0.12,0.13,0.09,97618,0.36,0.27,0.12,0.21,0.16,27219,0.46,0.14,0.59,0.5,0.05,0.18,0.04,0.07,0.1,0.07,0.11,0.01,0.04,0.06,0.05,0.28,0.11,0.06,0.12,0.12,0.42,0.06,0.34,0.33,0.05,6574,16,3.5,3.7,81.62034,82.68523,84.84663,85.37064,86.08604,86.49924,88.06023,88.31245,76.11236,77.24847,79.82316,80.44985,83.10068,83.56306,85.58579,85.89434,0.2793815,0.2178771,0.1903945,0.1333333,0.2665941,0.2231884,0.225,0.2016461,0.59407067,0.77643502,0.82439923,0.89305556,19.42887,-0.2018416,0.02267479,0.101247,0.0893262,0.1144173,0.237782,0.5715653,0.45291,0.6929438,648.3419,155827.7,37.15551
37119,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg,North Carolina,CHA,Charlotte,1,1,1222863,0.2,0.11,0.15,0.18,0.1,774225,0.15,0.08,0.11,0.13,0.1,275460,0.3,0.21,0.15,0.2,0.16,107381,0.39,0.1,0.44,0.54,0.04,0.16,0.04,0.07,0.09,0.06,0.1,0.02,0.04,0.06,0.05,0.24,0.09,0.08,0.11,0.11,0.35,0.05,0.25,0.29,0.03,5540,16,3.4,3.4,82.54854,83.42854,84.59418,85.05284,86.07059,86.35751,88.0639,88.30186,76.10365,77.0555,79.65516,80.19782,82.95148,83.29485,85.37232,85.6696,0.2365989,0.2121212,0.1478463,0.1034483,0.2806324,0.2480836,0.2267303,0.1484033,0.63553298,0.765625,0.84079599,0.9012903,18.44666,-0.0083503,-0.10589539,0.1243011,0.1021067,0.1482555,0.2407914,0.5480851,0.42209,0.7240673,1321.465,189019.4,36.92535
