FIPS,Metro.Area,County,State,Display,Name,Baseline,Current,Metro.Adult.Population,Low.income,Poor.locale,Limited.education,No.health.insurance,Unemployment,W.Metro.Adult.Population,W.Low.income,W.Poor.locale,W.Limited.education,W.No.health.insurance,W.Unemployment,B.Adult.Population,B.Low.income,B.Poor.locale,B.Limited.education,B.No.health.insurance,B.Unemployment,H.Adult.Population,H.Low.income,H.Poor.locale,H.Limited.education,H.No.health.insurance,H.Unemployment,At.least.doubly.disadvantaged,Low.income.and.poor.locale,Low.income.and.limited.education,Low.income.and.no.health.insurance,Low.income.and.unemployment,W.At.least.doubly.disadvantaged,W.Low.income.and.poor.locale,W.Low.income.and.limited.education,W.Low.income.and.no.health.insurance,W.Low.income.and.unemployment,B.At.least.doubly.disadvantaged,B.Low.income.and.poor.locale,B.Low.income.and.limited.education,B.Low.income.and.no.health.insurance,B.Low.income.and.unemployment,H.At.least.doubly.disadvantaged,H.Low.income.and.poor.locale,H.Low.income.and.limited.education,H.Low.income.and.no.health.insurance,H.Low.income.and.unemployment,Years.of.Potential.Life.Lost.Rate,Fair_Poor_Health_Percent,Physically.Unhealthy.Days,Mentally.Unhealthy.Days,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,cur_smoke_q1,cur_smoke_q2,cur_smoke_q3,cur_smoke_q4,bmi_obese_q1,bmi_obese_q2,bmi_obese_q3,bmi_obese_q4,exercise_any_q1,exercise_any_q2,exercise_any_q3,exercise_any_q4,puninsured2010,mort_30day_hosp_z,scap_ski90pcm,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,cs_race_theil_2000,gini99,frac_middleclass,cs_labforce,pop_density,median_house_value,e_rank_b,percent_black,percent_hispanic,percent_white
0,"St. Louis, MO-IL",St. Louis,Missouri,STL,St. Louis,0,1,1384298,18,16,12,13,11,1052441,14,11,10,10,9,236979,34,39,16,23,23,36636,23,23,20,26,6,14,5,5,6,7,10,2,4,4,5,28,19,9,11,16,17,8,9,10,3,9957,20.8,4.7,4.2,8006.150188,8118.260525,8312.184093,8379.702799,8519.087818,8568.975684,8705.342353,8739.564871,7485.236002,7605.06046,7873.172235,7949.574709,8158.631911,8215.910488,8479.70676,8518.524382,29.3450611,25.4117928,18.2101307,13.7576918,29.9961131,25.5777932,24.7629328,19.7562677,63.3765205,74.5235645,80.8888072,89.2122741,13.51093305,-0.841410076,0.992038919,0.094602995,0.075249792,0.112334156,0.343842473,0.472790783,42.653086,65.5467758,2874.16268,138497.7669,40.32635881,17.11907407,2.646539979,76.02705487
1073,"Birmingham-Hoover, AL",Jefferson,Alabama,BIR,Birmingham,1,1,550327,23,41,15,16,15,357074,16,36,13,12,13,155744,34,53,16,19,22,21129,64,38,47,64,8,21,13,7,9,10,14,9,5,6,8,31,22,9,11,16,58,28,34,48,7,10309,19,4.5,4.5,8021.241,8179.208,8355.753,8446.046,8517.361,8577.354,8717.7,8749.687,7385.114,7561.622,7842.502,7945.655,8156.728,8223.368,8450.085,8487.309,27.39872,23.7516,19.55446,13.27751,31.91257,27.24868,24.74619,18.63581,56.505805,71.091443,76.912183,85.567009,16.14558,0.5771653,-0.06010005,0.1226149,0.1115434,0.1300523,0.4181344,0.5981416,43.082,61.52097,595.0411,120903.1,38.43345,28.30026512,3.839353693,64.88396899
12031,"Jacksonville, FL",Duval,Florida,JAC,Jacksonville,1,0,685551,22,20,13,18,13,445332,18,13,13,16,12,142656,33,44,14,19,18,54289,29,17,18,26,8,17,7,6,7,8,13,3,5,6,7,27,19,9,9,14,21,5,9,10,5,8714,17,3.7,4.1,8090.923,8161.613,8358.25,8399.597,8573.135,8591.051,8777.625,8786.655,7441.966,7528.664,7918.167,7971.078,8160.326,8192.541,8485.976,8507.643,28.04766,22.187,18.23708,14.43995,27.87194,24.5114,26.95925,17.85714,59.936237,73.058933,81.21739,86.734694,19.32609,-0.3393703,-1.2693627,0.0945468,0.0883095,0.1004754,0.224553,0.5100531,52.613,67.42685,1006.736,119436.8,39.36953,20.80895513,7.919031553,64.95971853
18097,"Indianapolis-Carmel-Anderson, IN",Marion,Indiana,IND,Indianapolis,1,1,975216,19,15,14,16,11,737714,14,11,11,13,10,139560,32,31,17,21,18,55576,43,36,41,45,8,15,5,6,8,6,11,3,4,5,5,25,12,9,10,14,39,18,23,29,6,8795,19,4.1,4.2,7887.899,7991.841,8229.504,8291.022,8449.912,8501.558,8704.902,8742.314,7329.119,7435.487,7759.919,7826.086,8167.155,8221.445,8418.701,8464.204,33.77625,28.13371,21.61172,14.27623,32.38434,25.6779,26.62632,19.18919,56.677526,74.203539,81.294394,87.937188,19.89726,-0.323566,0.76482325,0.0995317,0.0859784,0.1103331,0.2764641,0.513245,48.093,69.1263,2171.5,131967,36.97688,14.31067579,5.698840052,75.64621581
21111,"Louisville/Jefferson County, KY-IN",Jefferson,Kentucky,LOU,Louisville,1,1,612045,20,10,15,12,12,484963,16,4,14,10,11,83494,37,46,16,14,23,22607,31,7,33,36,3,15,4,6,5,8,12,1,5,4,6,30,20,11,7,19,26,3,16,19,3,8714,18,3.9,3.7,8001.647,8086.115,8293.595,8348.799,8536.174,8578.506,8736.86,8766.816,7403.472,7498.888,7905.051,7964.791,8196.867,8246.594,8472.044,8508.46,35.01742,28.62149,20.0492,13.19444,28.79238,25.52553,21.31148,16.48873,54.226804,70.157427,80.645162,87.166452,16.06903,-0.3240758,0.69875356,0.1224208,0.1119988,0.1334353,0.3143667,0.5196272,47.256,64.9999,1801.158,137299,38.12341,13.64180738,3.693682654,79.23649405
26081,"Grand Rapids-Wyoming, MI",Kent,Michigan,GR,Grand Rapids,0,1,436607,18,22,12,11,9,351294,14,17,8,10,7,29004,49,60,20,13,26,36377,38,33,47,25,17,14,7,5,5,6,9,4,3,3,4,45,34,18,8,24,34,18,22,18,12,5716,13,3.5,3.4,8138.574,8186.51,8535.135,8551.925,8637.524,8664.069,8820.75,8842.738,7635.49,7685.87,8123.629,8146.133,8375.99,8405.866,8597.076,8622.728,25.4902,24.88619,15.94388,11.99552,26.39363,23.90282,24.19146,17.86121,67.460316,78.514379,85.340315,90.940368,13.94316,0.2645949,0.78659416,0.081094,0.0622906,0.0965667,0.2525475,0.4053029,51.188,70.46253,670.815,153428.3,41.17176,6.643045118,8.331749147,80.46000179
29095,"Kansas City, MO-KS",Jackson,Missouri,KC,Kansas City,1,1,1048660,17,15,11,14,10,787534,13,9,8,10,9,121044,30,37,12,23,19,83399,35,39,41,43,6,13,5,5,6,6,9,2,3,4,5,26,14,5,12,15,33,19,24,26,5,8410,19,4.3,3.8,8001.825,8093.668,8329.794,8378.799,8522.578,8563.606,8737.579,8768.221,7454.406,7551.054,7927.663,7981.47,8167.894,8212.372,8417.932,8454.334,30.73364,25.96401,21.55388,16.62468,27.81547,25.14891,25.03193,22.94872,61.397934,73.802394,79.739505,86.141306,17.99124,0.4846922,0.26476887,0.1108217,0.1011596,0.1177608,0.3472723,0.4495917,51.23,66.49454,1082.725,113305,40.04508,11.54273072,7.952911334,75.09907882
31055,"Omaha-Council Bluffs, NE-IA",Douglas,Nebraska,OMA,Omaha,1,1,484541,16,22,13,12,8,394005,12,15,8,8,7,30468,34,65,20,21,23,38772,36,55,53,43,7,13,8,6,6,5,9,4,3,3,4,33,27,12,12,19,36,28,29,25,6,6318,13,2.9,2.9,8058.175,8121.781,8424.847,8457.623,8642.01,8671.004,8754.147,8776.691,7512.808,7576.405,8016.313,8052.493,8186.729,8225.501,8530.355,8555.663,30.2134,24.91115,19.51077,13.71041,26.9742,24.2495,24.23698,18.29551,62.236559,76.875681,83.965194,88.852149,13.79862,-0.0011547,0.81377753,0.1364197,0.1150067,0.1560113,0.2747371,0.496081,46.77,70.61371,1400.651,134366.4,41.56104,6.288012779,8.001799641,81.31510027
37081,"Greensboro-High Point, NC",Guilford,North Carolina,GBR,Greensboro,1,1,384381,24,13,16,18,11,240537,16,6,12,13,9,97618,36,27,12,21,16,27219,46,14,59,50,5,18,4,7,10,7,11,1,4,6,5,28,11,6,12,12,42,6,34,33,5,6574,16,3.5,3.7,8162.034,8268.523,8484.663,8537.064,8608.604,8649.924,8806.023,8831.245,7611.236,7724.847,7982.316,8044.985,8310.068,8356.306,8558.579,8589.434,27.93815,21.78771,19.03945,13.33333,26.65941,22.31884,22.5,20.16461,59.407067,77.643502,82.439923,89.305556,19.42887,-0.2018416,0.02267479,0.101247,0.0893262,0.1144173,0.237782,0.5715653,45.291,69.29438,648.3419,155827.7,37.15551,25.39615642,7.081255317,62.57775488
37119,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg,North Carolina,CHA,Charlotte,1,1,1222863,20,11,15,18,10,774225,15,8,11,13,10,275460,30,21,15,20,16,107381,39,10,44,54,4,16,4,7,9,6,10,2,4,6,5,24,9,8,11,11,35,5,25,29,3,5540,16,3.4,3.4,8254.854,8342.854,8459.418,8505.284,8607.059,8635.751,8806.39,8830.186,7610.365,7705.55,7965.516,8019.782,8295.148,8329.485,8537.232,8566.96,23.65989,21.21212,14.78463,10.34483,28.06324,24.80836,22.67303,14.84033,63.553298,76.5625,84.079599,90.12903,18.44666,-0.0083503,-0.10589539,0.1243011,0.1021067,0.1482555,0.2407914,0.5480851,42.209,72.40673,1321.465,189019.4,36.92535,22.52582669,8.781114483,63.31248881
